id,name,episodes,champion,champion_label,air_start,air_end,studio_start,studio_end,points,tasks,special,TMI
1,Series 1,6,4,Josh Widdicombe,2015-07-28,2015-09-01,2015-03-23,2015-03-25,436,32,0,1
2,Series 2,5,11,Katherine Ryan,2016-06-21,2016-07-19,,,417,28,0,2
3,Series 3,5,16,Rob Beckett,2016-10-04,2016-11-01,,,386,27,0,3
4,Series 4,8,22,Noel Fielding,2017-04-25,2017-06-13,,,668,46,0,4
5,Series 5,8,24,Bob Mortimer,2017-09-13,2017-11-01,2017-07-03,2017-07-06,631,44,0,5
-1,CoC,2,29,Josh Widdicombe,2017-12-13,2017-12-20,2017-11-20,2017-11-20,164,10,1,6
6,Series 6,10,35,Liza Tarbuck,2018-05-02,2018-07-04,2018-03-22,2018-03-28,837,57,0,7
7,Series 7,10,40,Kerry Godliman,2018-09-05,2018-11-07,2018-07-19,2018-07-25,816,56,0,8
8,Series 8,10,45,Lou Sanders,2019-05-08,2019-07-10,2019-03-21,2019-03-27,749,54,0,9
9,Series 9,10,49,Ed Gamble,2019-09-04,2019-11-06,2019-07-18,2019-07-24,766,51,0,10
10,Series 10,10,57,Richard Herring,2020-10-15,2020-12-17,2020-07-25,2020-07-29,728,51,0,11
-2,NYT 2021,1,62,Shirley Ballas,2021-01-01,2021-01-01,,,62,5,1,12
11,Series 11,10,67,Sarah Kendall,2021-03-18,2021-05-20,,,725,50,0,32
12,Series 12,10,71,Morgana Robinson,2021-09-23,2021-11-25,,,778,50,0,38
-3,NYT 2022,1,73,Adrian Chiles,2022-01-01,2022-01-01,,,68,5,1,47
13,Series 13,10,82,Sophie Duker,2022-04-14,2022-06-16,2021-09-16,2021-09-22,795,51,0,48
-4,CoC II,1,87,Richard Herring,2022-06-23,2022-06-23,2021-09-15,2021-09-15,66,5,1,46
14,Series 14,10,88,Dara Ã“ Briain,2022-09-29,2022-12-01,2022-04-28,2022-05-05,796,52,0,55
-5,NYT 2023,1,96,Mo Farah,2023-01-01,2023-01-01,2022-11-22,2022-11-22,76,5,1,66
15,Series 15,10,102,Mae Martin,2023-03-30,2023-06-01,2022-09-22,2022-09-28,765,50,0,56
16,Series 16,8,,,2023-09-21,2023-11-23,2023-05-02,2023-05-12,579,40,0,73
-6,CoC III,0,,,2024-??-??,2024-??-??,2023-11-28,2023-11-28,,,1,88
